E_eV,F_erg/cm^2/s
256,1.594476029919982e+20,0.0
257,1.7621685378362825e+20,0.0
258,1.9474974207645417e+20,0.0
259,2.152317512456308e+20,0.0
260,2.3786787212316262e+20,0.0
261,2.628846546150568e+20,0.0
262,2.9053247508892228e+20,0.0
263,3.2108804222481374e+20,0.0
264,3.548571664087102e+20,0.0
265,3.921778203856364e+20,0.0
266,4.334235218045007e+20,0.0
267,4.790070715082613e+20,0.0
268,5.2938468498351135e+20,0.0
269,5.850605583184155e+20,0.0
270,6.46591914366613e+20,0.0
271,7.145945796208411e+20,0.0
272,7.897491476114476e+20,0.0
273,8.728077905152019e+20,0.0
274,9.646017871472643e+20,0.0
275,1.0660498426789504e+21,0.0
276,1.178167283347897e+21,0.0
277,1.3020762181842892e+21,0.0
278,1.439016769455195e+21,0.0
279,1.5903594842250527e+21,0.0
280,1.7576190512513108e+21,0.0
281,1.9424694604986628e+21,0.0
282,2.1467607569932183e+21,0.0
283,2.3725375566949625e+21,0.0
284,2.6220595097015293e+21,0.0
285,2.897823915585815e+21,0.0
286,3.2025907172095484e+21,0.0
287,3.539410123159028e+21,0.0
288,3.911653135257896e+21,0.0
289,4.32304528668646e+21,0.0
290,4.777703928369866e+21,0.0
291,5.280179436810161e+21,0.0
292,5.835500755783648e+21,0.0
293,6.449225727700537e+21,0.0
294,7.1274967183599e+21,0.0
295,7.877102091810959e+21,0.0
296,8.705544150582334e+21,0.0
297,9.621114221247175e+21,0.0
298,1.0632975636806387e+22,0.0
299,1.1751255446405329e+22,0.0
300,1.2987145770245204e+22,0.0
301,1.4353015814084171e+22,0.0
302,1.5862535664405718e+22,0.0
303,1.7530813103238931e+22,0.0
304,1.937454481191919e+22,0.0
305,2.141218347708647e+22,0.0
306,2.3664122471375897e+22,0.0
307,2.61528999571451e+22,0.0
308,2.890342445597855e+22,0.0
309,3.1943224141543987e+22,0.0
310,3.530272235080628e+22,0.0
311,3.901554207101033e+22,0.0
312,4.311884244983759e+22,0.0
313,4.765369069664612e+22,0.0
